Path;Validity
C:\Users\farla\OneDrive\Documents\GitHub\CrossCulturalDataAnalysis\CleanedData\ISR01\Simulator outputs\csv\CSVScenario-CP3_Session-isr01_2022-05-31-12-02-12.csv;True
C:\Users\farla\OneDrive\Documents\GitHub\CrossCulturalDataAnalysis\CleanedData\ISR02\Simulator outputs\csv\CSVScenario-CP3_Session-ISR02_2022-05-31-15-24-29.csv;False
C:\Users\farla\OneDrive\Documents\GitHub\CrossCulturalDataAnalysis\CleanedData\ISR03\Simulator outputs\csv\CSVScenario-CP3_Session-ISR03_2022-06-01-10-23-55.csv;True
C:\Users\farla\OneDrive\Documents\GitHub\CrossCulturalDataAnalysis\CleanedData\ISR04\Simulator outputs\csv\CSVScenario-CP3_Session-ISR04_2022-06-01-12-09-34.csv;True
C:\Users\farla\OneDrive\Documents\GitHub\CrossCulturalDataAnalysis\CleanedData\ISR05\Simulator outputs\csv\CSVScenario-CP3_Session-ISR05_2022-06-01-14-15-16.csv;True
C:\Users\farla\OneDrive\Documents\GitHub\CrossCulturalDataAnalysis\CleanedData\ISR06\Simulator outputs\csv\CSVScenario-CP3_Session-ISR06_2022-06-01-16-21-38.csv;False
C:\Users\farla\OneDrive\Documents\GitHub\CrossCulturalDataAnalysis\CleanedData\ISR07\Simulator outputs\csv\CSVScenario-CP3_Session-isr07_2022-06-01-16-57-24.csv;False
C:\Users\farla\OneDrive\Documents\GitHub\CrossCulturalDataAnalysis\CleanedData\ISR08\Simulator outputs\csv\CSVScenario-CP3_Session-ISR08_2022-06-06-10-30-08.csv;False
C:\Users\farla\OneDrive\Documents\GitHub\CrossCulturalDataAnalysis\CleanedData\ISR09\Simulator outputs\csv\CSVScenario-CP3_Session-ISR09_2022-06-06-12-43-09.csv;True
C:\Users\farla\OneDrive\Documents\GitHub\CrossCulturalDataAnalysis\CleanedData\ISR10\Simulator outputs\csv\CSVScenario-CP3_Session-ISR10_2022-06-06-14-50-37.csv;True
C:\Users\farla\OneDrive\Documents\GitHub\CrossCulturalDataAnalysis\CleanedData\ISR11\Simulator outputs\csv\CSVScenario-CP3_Session-ISR11_2022-06-06-16-33-05.csv;True
C:\Users\farla\OneDrive\Documents\GitHub\CrossCulturalDataAnalysis\CleanedData\ISR12\Simulator outputs\csv\CSVScenario-CP3_Session-ISR12_2022-06-07-11-56-30.csv;True
C:\Users\farla\OneDrive\Documents\GitHub\CrossCulturalDataAnalysis\CleanedData\ISR13\Simulator outputs\csv\CSVScenario-CP3_Session-ISR13_2022-06-07-14-27-50.csv;False
C:\Users\farla\OneDrive\Documents\GitHub\CrossCulturalDataAnalysis\CleanedData\ISR14\Simulator outputs\csv\CSVScenario-CP3_Session-ISR14_2022-06-07-16-25-43.csv;True
C:\Users\farla\OneDrive\Documents\GitHub\CrossCulturalDataAnalysis\CleanedData\ISR15\Simulator outputs\csv\CSVScenario-CP3_Session-isr15_2022-06-09-10-16-09.csv;True
C:\Users\farla\OneDrive\Documents\GitHub\CrossCulturalDataAnalysis\CleanedData\ISR16\Simulator outputs\csv\CSVScenario-CP3_Session-ISR16_2022-06-09-12-16-35.csv;True
C:\Users\farla\OneDrive\Documents\GitHub\CrossCulturalDataAnalysis\CleanedData\ISR17\Simulator outputs\csv\CSVScenario-CP3_Session-ISR17_2022-06-09-14-17-42.csv;True
